Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
2019-05-31,2932.47,,,255.2715,2.54,2932.47,,,30.23050588568
2019-04-30,2903.8,,,254.915,2.53,2907.8609799345,,,30.206552149156
2019-03-31,2803.98,54.94,134.73,254.202,2.57,2815.777140109,55.171148181368,135.29684736941,29.575305893996
2019-02-28,2754.86,54.543333333333,133.95,252.776,2.68,2782.057016845,55.081805689622,135.27240491581,29.54124851603
2019-01-31,2607.39,54.146666666667,133.17,251.712,2.71,2644.261522633,54.912363415332,135.05317845395,28.380164463548
2018-12-31,2567.31,53.75,132.39,251.233,2.83,2608.5787880772,54.614016172239,134.51813211242,28.291857012073
2018-11-30,2723.23,53.28,131.72333333333,252.038,3.12,2758.1674467541,53.963551210532,133.41326659075,30.195583406705
2018-10-31,2785.46,52.81,131.05666666667,252.885,3.15,2811.7466531823,53.308373035174,132.29346100006,31.037961078007
2018-09-30,2901.5,52.34,130.39,252.439,3.0,2934.0563750054,52.927282670269,131.85304523073,32.6228911205
2018-08-31,2857.82,51.89,127.75333333333,252.146,2.89,2893.2443827386,52.533207486932,129.33691206682,32.390276880301
2018-07-31,2793.64,51.44,125.11666666667,252.006,2.89,2829.8400564272,52.106560796172,126.73793153734,31.886366962159
2018-06-30,2754.35,50.99,122.48,251.989,2.91,2790.2291608959,51.654214211731,124.07546884983,31.630556496455
2018-05-31,2701.49,50.66,120.13333333333,251.588,2.976,2741.0425160779,51.401713078525,121.8922055106,31.243615074865
2018-04-30,2653.63,50.33,117.78666666667,250.546,2.87,2703.6796059207,51.279264466405,120.00821837108,30.970179293325
2018-03-31,2702.77,50.0,115.44,249.554,2.84,2764.6928202113,51.145543649871,118.08483117882,31.808409057643
2018-02-28,2705.16,49.643333333333,113.58666666667,248.991,2.86,2773.3944236539,50.895527007,116.45175440076,32.03538233925
2018-01-31,2789.8,49.286666666667,111.73333333333,247.867,2.58,2873.1393477147,50.759001117535,115.07112927497,33.307343828031
2017-12-31,2664.34,48.93,109.88,246.524,2.4,2758.8797371047,50.66620083643,113.77891166783,32.086132007706
2017-11-30,2593.61,48.676666666667,108.94666666667,246.669,2.35,2684.0612931297,50.374249358452,112.74614572565,31.29891333388
2017-10-31,2557.0,48.423333333333,108.01333333333,246.663,2.36,2646.2388988215,50.113300069325,111.78298172,30.920393290334
2017-09-30,2492.84,48.17,107.08,246.819,2.2,2578.2091575608,49.819617432207,110.74703414243,30.168114410679
2017-08-31,2456.22,47.853333333333,106.06,245.519,2.21,2553.785913636,49.754162325523,110.27291284992,29.914959397497
2017-07-31,2454.1,47.536666666667,105.04,244.786,2.32,2559.2222927373,49.572917589241,109.53942774505,30.002220744019
2017-06-30,2433.99,47.22,104.02,244.955,2.19,2536.4996766141,49.208712743157,108.40089579719,29.748503240633
2017-05-31,2395.35,46.94,102.77666666667,244.733,2.3,2498.4966781145,48.961293368692,107.20235466815,29.313344980271
2017-04-30,2359.31,46.66,101.53333333333,244.524,2.3,2463.00814098,48.710834887373,105.99600161947,28.904245956275
2017-03-31,2366.82,46.38,100.29,243.801,2.48,2478.1756089187,48.562114880579,105.00850585108,29.086921742465
2017-02-28,2329.91,46.153333333333,98.376666666667,243.603,2.42,2441.511888462,48.364062142092,103.08887519858,28.655106525184
2017-01-31,2275.12,45.926666666667,96.463333333333,242.839,2.43,2391.598116777,48.277949958615,101.40191565193,28.063573742124
2016-12-31,2246.63,45.7,94.55,241.432,2.49,2375.4125801261,48.319640934093,99.969847928195,27.865098223924
2016-11-30,2164.99,45.476666666667,92.73,241.353,2.14,2289.8420354626,48.099244322631,98.077613267703,26.850953531056
2016-10-31,2143.02,45.253333333333,90.91,241.729,1.76,2263.07943991,47.788582586285,96.003094643175,26.525143085071
2016-09-30,2157.69,45.03,89.09,241.428,1.63,2281.4121097594,47.612023646802,94.198427419355,26.727873346479
2016-08-31,2170.95,44.84,88.366666666667,240.849,1.56,2300.9506492657,47.525105190389,93.658232128844,26.948872433724
2016-07-31,2148.9,44.65,87.643333333333,240.628,1.5,2279.6720512575,47.367191162292,92.976898636069,26.694003256096
2016-06-30,2083.89,44.46,86.92,241.018,1.64,2207.128621659,47.089308225942,92.060338978831,25.840372927671
2016-05-31,2065.55,44.266666666667,86.76,240.229,1.81,2194.8892382893,47.038527405101,92.192680067769,25.69470992345
2016-04-30,2075.54,44.073333333333,86.6,239.261,1.81,2214.4277968829,47.022564939543,92.394965748701,25.922337543674
2016-03-31,2021.95,43.88,86.44,238.132,1.89,2167.4794207624,47.038253657635,92.661500596308,25.372298620188
2016-02-29,1904.42,43.716666666667,86.47,237.111,1.78,2050.2808812328,47.064957235219,93.092798752483,24.00260677729
2016-01-31,1918.6,43.553333333333,86.5,236.916,2.09,2067.2470407233,46.927707415286,93.201745555387,24.206167203878
2015-12-31,2054.08,43.39,86.53,236.525,2.24,2216.8822861008,46.829004904344,93.38819530705,25.965424037124
2015-11-30,2080.62,43.096666666667,87.906666666667,237.336,2.26,2237.852615406,46.353485122358,94.549780311457,26.225851890972
2015-10-31,2024.81,42.803333333333,89.283333333333,237.838,2.07,2173.2283567596,45.940813095468,95.827792131619,25.491441046067
2015-09-30,1944.41,42.51,90.66,237.945,2.17,2085.9965845679,45.605461199017,97.261611674967,24.496752170486
2015-08-31,2039.87,42.253333333333,92.076666666667,238.316,2.17,2185.0009009257,45.259536833448,98.627657459004,25.693658417058
2015-07-31,2094.14,41.996666666667,93.493333333333,238.654,2.32,2239.95516107,44.920898434554,100.00328274406,26.3811363364
2015-06-30,2099.29,41.74,94.91,238.638,2.36,2245.6143080105,44.649353455862,101.52539857441,26.495895292785
2015-05-31,2111.94,41.43,96.356666666667,237.805,2.2,2267.05953075,44.472985197956,103.43395149387,26.806111379651
2015-04-30,2094.86,41.12,97.803333333333,236.599,1.94,2260.1872978753,44.365208982286,105.5220165977,26.791371680192
2015-03-31,2079.99,40.81,99.25,236.119,2.04,2248.7058105659,44.120252563326,107.30054072311,26.728605452928
2015-02-28,2082.2,40.353333333333,100.27,234.722,1.98,2264.4929631649,43.886196990482,109.04846288375,26.995513699383
2015-01-31,2028.18,39.896666666667,101.29,233.707,1.88,2215.3232503519,43.577992721656,110.63618220678,26.492295420383
2014-12-31,2054.27,39.44,102.31,234.812,2.21,2233.2614359786,42.876462702077,111.2244142761,26.794085482573
2014-11-30,2044.57,39.123333333333,103.52666666667,236.151,2.33,2210.1132358322,42.291042532109,111.90893745951,26.606817147143
2014-10-31,1937.27,38.806666666667,104.74333333333,237.433,2.3,2082.8183900511,41.722237473308,112.61276998143,25.162748283083
2014-09-30,1993.23,38.49,105.96,238.031,2.53,2137.5989343615,41.277816902,113.63464481517,25.918436892606
2014-08-31,1961.53,38.12,105.01333333333,237.852,2.42,2105.1860206977,40.911783714242,112.70416527925,25.617606421799
2014-07-31,1973.1,37.75,104.06666666667,238.25,2.54,2114.065883106,40.447005771249,111.50159118573,25.817545976159
